Hair_Color,Region_Climate,Companion_Pet,Core_Value,Weapon,House
Black,Cold,Direwolf,Loyalty,Sword,Stark
Black,Temperate,Direwolf,Loyalty,Valyrian Steel,Baratheon
Silver,Cold,Dragon,Knowledge,Valyrian Steel,Targaryen
Brown,Cold,Stag,Power,Sword,Stark
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Black,Humid,Cat,Wealth,Dagger,Baratheon
Blonde,Temperate,None,Ambition,Sword,Lannister
Black,Humid,Direwolf,Loyalty,Sword,Stark
Silver,Humid,Dragon,Ambition,Axe,Targaryen
Auburn,Temperate,None,Loyalty,Sword,Targaryen
Blonde,Hot,None,Wealth,Dagger,Lannister
Red,Humid,None,Loyalty,Axe,Baratheon
Black,Humid,Stag,Ambition,Warhammer,Baratheon
Blonde,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Ambition,Bow,Lannister
Blonde,Cold,Direwolf,Honor,Axe,Stark
Silver,Hot,None,Power,Spear,Targaryen
Blonde,Temperate,Direwolf,Loyalty,Sword,Stark
Brown,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Auburn,Cold,None,Honor,Dagger,Stark
Auburn,Temperate,Lion,Power,Sword,Lannister
Red,Windy,Direwolf,Justice,Axe,Stark
Brown,Cold,None,Honor,Spear,Stark
Black,Cold,None,Loyalty,Dagger,Stark
Blonde,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Blonde,Cold,Lion,Wealth,Valyrian Steel,Lannister
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Power,Sword,Targaryen
Silver,Temperate,None,Power,Dagger,Targaryen
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Cold,Direwolf,Honor,Warhammer,Stark
Blonde,Temperate,Lion,Wealth,Bow,Lannister
Silver,Temperate,None,Honor,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Auburn,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Justice,Spear,Stark
Red,Cold,Direwolf,Honor,Sword,Stark
Blonde,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Black,Cold,Direwolf,Loyalty,Dagger,Stark
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Hot,None,Knowledge,Bow,Targaryen
Brown,Temperate,Raven,Ambition,Valyrian Steel,Lannister
Black,Humid,Cat,Ambition,Warhammer,Baratheon
Brown,Temperate,Direwolf,Power,Sword,Stark
Black,Temperate,Cat,Power,Warhammer,Lannister
Black,Temperate,None,Wealth,Valyrian Steel,Baratheon
Black,Windy,Lion,Power,Warhammer,Baratheon
Auburn,Temperate,Cat,Power,Warhammer,Lannister
Black,Hot,Direwolf,Loyalty,Axe,Stark
Silver,Hot,Dragon,Justice,Warhammer,Targaryen
Black,Temperate,Stag,Justice,Axe,Baratheon
Auburn,Hot,Lion,Ambition,Axe,Baratheon
Silver,Hot,Raven,Power,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Dagger,Lannister
Silver,Hot,None,Ambition,Valyrian Steel,Targaryen
Black,Humid,Dragon,Knowledge,Dagger,Targaryen
Black,Windy,Direwolf,Power,Sword,Stark
Brown,Cold,Direwolf,Honor,Dagger,Stark
Black,Cold,Direwolf,Honor,Spear,Stark
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Cold,Dragon,Honor,Valyrian Steel,Targaryen
Red,Humid,Stag,Justice,Warhammer,Baratheon
Blonde,Cold,Direwolf,Wealth,Axe,Stark
Blonde,Temperate,None,Power,Axe,Lannister
Red,Temperate,Direwolf,Ambition,Warhammer,Baratheon
Auburn,Windy,Stag,Honor,Axe,Baratheon
Blonde,Temperate,None,Wealth,Dagger,Lannister
Black,Temperate,Direwolf,Justice,Sword,Stark
Blonde,Temperate,None,Knowledge,Valyrian Steel,Lannister
Auburn,Cold,None,Honor,Bow,Stark
Auburn,Cold,Lion,Ambition,Spear,Lannister
Black,Cold,None,Loyalty,Axe,Stark
Black,Cold,Stag,Power,Bow,Baratheon
Brown,Temperate,Stag,Ambition,Valyrian Steel,Baratheon
Black,Windy,Stag,Loyalty,Sword,Baratheon
Brown,Cold,Direwolf,Loyalty,Sword,Stark
Silver,Windy,Dragon,Wealth,Valyrian Steel,Targaryen
Red,Humid,Stag,Justice,Bow,Baratheon
Silver,Cold,Dragon,Power,Valyrian Steel,Targaryen
Black,Windy,Dragon,Loyalty,Sword,Baratheon
Brown,Windy,Raven,Loyalty,Valyrian Steel,Baratheon
Auburn,Hot,Dragon,Knowledge,Sword,Targaryen
Silver,Humid,Direwolf,Power,Valyrian Steel,Targaryen
Black,Humid,Cat,Loyalty,Axe,Baratheon
Blonde,Windy,Lion,Wealth,Sword,Lannister
Brown,Cold,Direwolf,Power,Sword,Stark
Brown,Temperate,None,Ambition,Spear,Stark
Brown,Hot,Cat,Power,Sword,Stark
Brown,Windy,Stag,Power,Bow,Baratheon
Silver,Temperate,None,Honor,Valyrian Steel,Targaryen
Brown,Temperate,None,Ambition,Sword,Lannister
Black,Cold,None,Wealth,Axe,Stark
Brown,Windy,Direwolf,Power,Sword,Stark
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Black,Humid,Cat,Power,Sword,Targaryen
Red,Hot,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Honor,Bow,Stark
Black,Temperate,None,Wealth,Valyrian Steel,Targaryen
Black,Hot,Stag,Justice,Valyrian Steel,Baratheon
Silver,Humid,Dragon,Knowledge,Sword,Targaryen
Brown,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Blonde,Temperate,None,Power,Sword,Lannister
Brown,Humid,Direwolf,Ambition,Dagger,Stark
Black,Cold,Lion,Honor,Bow,Stark
Silver,Temperate,Lion,Power,Dagger,Lannister
Black,Windy,Cat,Loyalty,Warhammer,Baratheon
Blonde,Temperate,Cat,Power,Axe,Lannister
Blonde,Cold,Stag,Ambition,Warhammer,Baratheon
Auburn,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Brown,Temperate,None,Power,Bow,Targaryen
Black,Cold,Direwolf,Honor,Bow,Stark
Silver,Hot,Raven,Justice,Valyrian Steel,Targaryen
Brown,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Black,Cold,Raven,Loyalty,Sword,Stark
Silver,Humid,Dragon,Justice,Dagger,Targaryen
Black,Hot,Dragon,Knowledge,Sword,Targaryen
Silver,Humid,Raven,Loyalty,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Loyalty,Valyrian Steel,Targaryen
Blonde,Temperate,None,Ambition,Dagger,Lannister
Auburn,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Cold,Stag,Power,Axe,Baratheon
Silver,Humid,Dragon,Loyalty,Sword,Targaryen
Blonde,Windy,None,Wealth,Bow,Lannister
Black,Temperate,Stag,Justice,Sword,Baratheon
Red,Cold,Direwolf,Knowledge,Valyrian Steel,Stark
Red,Temperate,Lion,Justice,Spear,Lannister
Blonde,Temperate,Lion,Honor,Dagger,Lannister
Black,Windy,Stag,Power,Bow,Baratheon
Black,Temperate,None,Justice,Sword,Stark
Black,Temperate,None,Loyalty,Bow,Baratheon
Blonde,Hot,Lion,Justice,Sword,Lannister
Blonde,Temperate,Lion,Knowledge,Valyrian Steel,Lannister
Brown,Windy,Stag,Ambition,Axe,Baratheon
Blonde,Temperate,Lion,Justice,Bow,Lannister
Brown,Cold,Direwolf,Honor,Axe,Stark
Brown,Hot,Lion,Wealth,Bow,Lannister
Silver,Cold,Raven,Knowledge,Sword,Targaryen
Red,Hot,Dragon,Power,Axe,Stark
Red,Temperate,Raven,Wealth,Bow,Baratheon
Silver,Windy,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Hot,Stag,Wealth,Valyrian Steel,Baratheon
Black,Temperate,Lion,Justice,Bow,Baratheon
Blonde,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Brown,Cold,Stag,Loyalty,Axe,Baratheon
Silver,Cold,None,Justice,Sword,Baratheon
Blonde,Temperate,Lion,Power,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Ambition,Dagger,Lannister
Black,Temperate,Direwolf,Loyalty,Sword,Stark
Blonde,Humid,None,Wealth,Axe,Lannister
Brown,Cold,None,Justice,Bow,Stark
Auburn,Hot,Direwolf,Wealth,Dagger,Lannister
Black,Cold,Direwolf,Honor,Sword,Stark
Brown,Hot,Direwolf,Honor,Valyrian Steel,Stark
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Windy,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Hot,Lion,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Ambition,Dagger,Lannister
Brown,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Blonde,Hot,Raven,Power,Axe,Targaryen
Black,Windy,Stag,Power,Sword,Baratheon
Black,Humid,Stag,Ambition,Valyrian Steel,Baratheon
Blonde,Windy,Raven,Wealth,Sword,Lannister
Black,Windy,Stag,Wealth,Warhammer,Baratheon
Black,Cold,Direwolf,Loyalty,Warhammer,Stark
Blonde,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Black,Humid,Stag,Wealth,Sword,Baratheon
Black,Temperate,Lion,Justice,Warhammer,Baratheon
Auburn,Hot,Dragon,Honor,Bow,Targaryen
Brown,Hot,Stag,Loyalty,Sword,Baratheon
Black,Cold,Cat,Honor,Sword,Stark
Brown,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Silver,Windy,Raven,Ambition,Valyrian Steel,Targaryen
Red,Cold,Direwolf,Loyalty,Bow,Stark
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Blonde,Hot,Lion,Power,Sword,Lannister
Black,Windy,Direwolf,Power,Dagger,Baratheon
Black,Windy,Stag,Knowledge,Sword,Baratheon
Black,Windy,None,Justice,Dagger,Baratheon
Silver,Temperate,Dragon,Honor,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Loyalty,Sword,Stark
Blonde,Temperate,Cat,Power,Valyrian Steel,Lannister
Brown,Temperate,Stag,Power,Sword,Lannister
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Ambition,Sword,Targaryen
Auburn,Cold,Direwolf,Justice,Axe,Stark
Black,Cold,Direwolf,Justice,Bow,Stark
Auburn,Hot,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Windy,Stag,Justice,Sword,Baratheon
Brown,Temperate,Stag,Wealth,Bow,Lannister
Auburn,Temperate,Stag,Power,Sword,Lannister
Silver,Hot,Cat,Power,Sword,Lannister
Black,Windy,Stag,Justice,Warhammer,Baratheon
Silver,Hot,Dragon,Ambition,Sword,Targaryen
Auburn,Temperate,Raven,Loyalty,Dagger,Baratheon
Blonde,Hot,Lion,Power,Valyrian Steel,Lannister
Silver,Humid,Dragon,Power,Spear,Targaryen
Auburn,Temperate,None,Wealth,Dagger,Lannister
Brown,Temperate,Stag,Power,Spear,Baratheon
Silver,Hot,None,Loyalty,Dagger,Targaryen
Blonde,Temperate,Stag,Power,Sword,Lannister
Black,Temperate,Cat,Justice,Valyrian Steel,Baratheon
Blonde,Temperate,Lion,Ambition,Sword,Lannister
Black,Cold,Cat,Wealth,Sword,Stark
Brown,Cold,Direwolf,Knowledge,Dagger,Stark
Red,Windy,Stag,Wealth,Axe,Baratheon
Red,Windy,Stag,Justice,Spear,Baratheon
Black,Cold,Direwolf,Honor,Axe,Stark
Brown,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Auburn,Hot,None,Honor,Valyrian Steel,Stark
Blonde,Temperate,Lion,Knowledge,Dagger,Lannister
Black,Cold,Direwolf,Loyalty,Sword,Stark
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Hot,None,Power,Sword,Targaryen
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Justice,Warhammer,Stark
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Silver,Cold,Direwolf,Honor,Bow,Stark
Auburn,Cold,None,Ambition,Bow,Stark
Blonde,Windy,Dragon,Power,Dagger,Targaryen
Red,Cold,Direwolf,Wealth,Valyrian Steel,Stark
Brown,Cold,Dragon,Honor,Sword,Stark
Brown,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Hot,Stag,Honor,Axe,Baratheon
Silver,Windy,Dragon,Ambition,Valyrian Steel,Targaryen
Blonde,Temperate,Stag,Knowledge,Valyrian Steel,Lannister
Blonde,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Red,Temperate,None,Ambition,Dagger,Baratheon
Brown,Temperate,Lion,Power,Dagger,Lannister
Auburn,Cold,Direwolf,Honor,Axe,Stark
Black,Cold,Direwolf,Knowledge,Sword,Stark
Blonde,Windy,Cat,Knowledge,Axe,Lannister
Red,Cold,Direwolf,Loyalty,Sword,Stark
Black,Temperate,Lion,Wealth,Warhammer,Baratheon
Silver,Temperate,Cat,Loyalty,Warhammer,Targaryen
Blonde,Temperate,None,Wealth,Warhammer,Lannister
Blonde,Temperate,None,Power,Dagger,Lannister
Blonde,Temperate,Raven,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Wealth,Bow,Lannister
Silver,Hot,Dragon,Power,Axe,Targaryen
Auburn,Cold,Direwolf,Honor,Sword,Stark
Silver,Temperate,Lion,Power,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Knowledge,Warhammer,Targaryen
Brown,Humid,None,Knowledge,Bow,Stark
Black,Cold,Direwolf,Justice,Bow,Stark
Blonde,Hot,Raven,Power,Axe,Lannister
Black,Windy,Stag,Power,Dagger,Baratheon
Black,Humid,Dragon,Power,Sword,Targaryen
Blonde,Temperate,Raven,Wealth,Valyrian Steel,Lannister
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,None,Power,Warhammer,Baratheon
Brown,Temperate,Lion,Power,Valyrian Steel,Lannister
Blonde,Temperate,None,Ambition,Valyrian Steel,Lannister
Black,Cold,Raven,Honor,Sword,Stark
Silver,Hot,Dragon,Loyalty,Valyrian Steel,Targaryen
Blonde,Temperate,Cat,Power,Bow,Lannister
Black,Cold,Direwolf,Ambition,Dagger,Stark
Silver,Hot,Dragon,Power,Sword,Targaryen
Red,Temperate,Dragon,Ambition,Spear,Targaryen
Brown,Windy,Stag,Ambition,Dagger,Baratheon
Silver,Temperate,Dragon,Knowledge,Valyrian Steel,Targaryen
Silver,Temperate,Raven,Knowledge,Valyrian Steel,Targaryen
Black,Windy,Direwolf,Power,Dagger,Baratheon
Brown,Cold,Direwolf,Knowledge,Dagger,Stark
Brown,Windy,Stag,Honor,Sword,Baratheon
Blonde,Temperate,Raven,Power,Sword,Lannister
Auburn,Temperate,None,Honor,Valyrian Steel,Stark
Black,Windy,Direwolf,Loyalty,Sword,Stark
Auburn,Hot,Stag,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Ambition,Spear,Lannister
Black,Cold,Stag,Justice,Bow,Stark
Black,Temperate,Cat,Loyalty,Warhammer,Baratheon
Black,Windy,Cat,Knowledge,Warhammer,Baratheon
Red,Temperate,Lion,Wealth,Warhammer,Lannister
Black,Cold,Direwolf,Wealth,Sword,Stark
Brown,Cold,Direwolf,Honor,Axe,Stark
Black,Cold,Raven,Loyalty,Dagger,Stark
Silver,Hot,Lion,Honor,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Windy,Stag,Justice,Dagger,Baratheon
Blonde,Hot,None,Wealth,Sword,Lannister
Black,Windy,Stag,Honor,Warhammer,Baratheon
Silver,Hot,None,Wealth,Valyrian Steel,Targaryen
Brown,Humid,Direwolf,Honor,Spear,Stark
Blonde,Windy,None,Power,Axe,Lannister
Black,Cold,Stag,Knowledge,Warhammer,Stark
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Auburn,Cold,None,Knowledge,Valyrian Steel,Stark
Brown,Humid,Direwolf,Honor,Bow,Stark
Black,Humid,Stag,Honor,Warhammer,Baratheon
Brown,Humid,Direwolf,Loyalty,Sword,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Spear,Stark
Black,Cold,Stag,Honor,Valyrian Steel,Stark
Black,Windy,Lion,Power,Warhammer,Baratheon
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Brown,Hot,Cat,Wealth,Sword,Lannister
Black,Windy,Stag,Power,Valyrian Steel,Baratheon
Brown,Cold,Direwolf,Wealth,Spear,Stark
Black,Windy,Dragon,Power,Spear,Targaryen
Black,Windy,Direwolf,Honor,Sword,Stark
Brown,Hot,Dragon,Power,Sword,Targaryen
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Hot,Stag,Power,Warhammer,Baratheon
Brown,Humid,Lion,Power,Sword,Lannister
Black,Cold,None,Honor,Axe,Stark
Silver,Hot,None,Loyalty,Warhammer,Targaryen
Blonde,Temperate,Direwolf,Ambition,Axe,Stark
Black,Cold,Direwolf,Loyalty,Bow,Stark
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Black,Cold,Direwolf,Ambition,Sword,Stark
Auburn,Humid,Stag,Ambition,Axe,Baratheon
Blonde,Temperate,Dragon,Knowledge,Valyrian Steel,Targaryen
Auburn,Cold,Direwolf,Honor,Bow,Stark
Brown,Temperate,Direwolf,Power,Warhammer,Stark
Silver,Hot,None,Loyalty,Axe,Targaryen
Brown,Cold,None,Honor,Dagger,Stark
Blonde,Hot,Lion,Power,Sword,Lannister
Black,Cold,Direwolf,Honor,Bow,Stark
Silver,Temperate,Dragon,Justice,Spear,Targaryen
Auburn,Windy,Stag,Ambition,Warhammer,Baratheon
Silver,Hot,Dragon,Knowledge,Valyrian Steel,Targaryen
Blonde,Temperate,Raven,Ambition,Sword,Lannister
Blonde,Temperate,Raven,Ambition,Bow,Lannister
Black,Windy,Dragon,Justice,Dagger,Baratheon
Brown,Temperate,Dragon,Justice,Dagger,Targaryen
Blonde,Cold,Direwolf,Honor,Sword,Stark
Auburn,Windy,Cat,Wealth,Valyrian Steel,Lannister
Blonde,Humid,None,Loyalty,Valyrian Steel,Lannister
Black,Cold,Direwolf,Wealth,Dagger,Stark
Silver,Humid,None,Ambition,Axe,Targaryen
Black,Cold,Direwolf,Honor,Axe,Stark
Black,Windy,Cat,Honor,Valyrian Steel,Baratheon
Silver,Humid,Dragon,Ambition,Sword,Targaryen
Black,Windy,Stag,Ambition,Warhammer,Baratheon
Blonde,Temperate,None,Power,Valyrian Steel,Lannister
Black,Temperate,Stag,Ambition,Bow,Baratheon
Brown,Temperate,Raven,Wealth,Sword,Lannister
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Black,Cold,Cat,Power,Sword,Baratheon
Blonde,Humid,Dragon,Power,Bow,Targaryen
Brown,Windy,Stag,Power,Bow,Baratheon
Blonde,Temperate,Lion,Ambition,Sword,Lannister
Black,Humid,Stag,Power,Warhammer,Baratheon
Blonde,Hot,Raven,Ambition,Bow,Lannister
Silver,Hot,Dragon,Power,Bow,Targaryen
Black,Cold,Direwolf,Justice,Dagger,Stark
Auburn,Humid,Direwolf,Knowledge,Valyrian Steel,Stark
Auburn,Temperate,Lion,Wealth,Warhammer,Lannister
Red,Hot,Dragon,Ambition,Warhammer,Baratheon
Brown,Temperate,Cat,Power,Bow,Stark
Brown,Humid,Stag,Ambition,Axe,Baratheon
Brown,Cold,Direwolf,Honor,Spear,Stark
Black,Temperate,None,Ambition,Bow,Lannister
Silver,Windy,Dragon,Ambition,Sword,Targaryen
Red,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Silver,Windy,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,None,Wealth,Valyrian Steel,Lannister
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Humid,Stag,Power,Axe,Baratheon
Brown,Cold,Direwolf,Loyalty,Warhammer,Stark
Blonde,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Blonde,Temperate,None,Power,Axe,Lannister
Black,Hot,Stag,Power,Axe,Baratheon
Silver,Hot,Dragon,Power,Warhammer,Targaryen
Black,Windy,Stag,Wealth,Sword,Baratheon
Blonde,Temperate,None,Honor,Dagger,Lannister
Blonde,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Black,Cold,None,Power,Warhammer,Baratheon
Blonde,Temperate,Cat,Wealth,Dagger,Lannister
Silver,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Humid,Stag,Honor,Warhammer,Targaryen
Blonde,Temperate,Cat,Ambition,Valyrian Steel,Lannister
Red,Cold,Stag,Power,Warhammer,Baratheon
Red,Cold,Cat,Honor,Sword,Stark
Black,Humid,Direwolf,Ambition,Dagger,Targaryen
Silver,Hot,Dragon,Wealth,Valyrian Steel,Targaryen
Brown,Temperate,Lion,Wealth,Sword,Lannister
Red,Hot,Lion,Power,Valyrian Steel,Lannister
Black,Temperate,Cat,Justice,Valyrian Steel,Lannister
Black,Temperate,Raven,Loyalty,Spear,Stark
Auburn,Temperate,Direwolf,Loyalty,Sword,Stark
Black,Cold,Direwolf,Honor,Axe,Stark
Blonde,Cold,Cat,Wealth,Bow,Lannister
Brown,Windy,Stag,Wealth,Warhammer,Baratheon
Black,Cold,Raven,Honor,Valyrian Steel,Stark
Black,Windy,Stag,Ambition,Spear,Baratheon
Silver,Windy,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Temperate,Stag,Justice,Warhammer,Baratheon
Black,Humid,Stag,Ambition,Sword,Baratheon
Black,Temperate,Stag,Power,Dagger,Baratheon
Black,Temperate,Direwolf,Honor,Axe,Stark
Brown,Temperate,None,Power,Sword,Lannister
Black,Cold,Stag,Knowledge,Bow,Stark
Black,Cold,Direwolf,Knowledge,Sword,Stark
Brown,Hot,Dragon,Justice,Dagger,Targaryen
Silver,Humid,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Auburn,Temperate,Cat,Wealth,Sword,Lannister
Black,Cold,Direwolf,Wealth,Valyrian Steel,Stark
Blonde,Temperate,Lion,Ambition,Dagger,Lannister
Silver,Hot,Dragon,Power,Sword,Targaryen
Black,Cold,None,Honor,Sword,Stark
Brown,Cold,None,Justice,Sword,Stark
Black,Temperate,Lion,Wealth,Sword,Lannister
Silver,Temperate,Cat,Loyalty,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Loyalty,Axe,Stark
Black,Windy,Stag,Justice,Axe,Baratheon
Red,Temperate,Raven,Justice,Axe,Baratheon
Blonde,Temperate,Direwolf,Wealth,Bow,Lannister
Blonde,Hot,Raven,Wealth,Warhammer,Lannister
Red,Cold,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Temperate,Dragon,Power,Bow,Targaryen
Black,Humid,None,Wealth,Valyrian Steel,Baratheon
Black,Temperate,Stag,Power,Axe,Baratheon
Red,Temperate,Raven,Honor,Warhammer,Lannister
Black,Temperate,Stag,Ambition,Warhammer,Baratheon
Blonde,Windy,None,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Power,Sword,Lannister
Brown,Temperate,Cat,Ambition,Sword,Lannister
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Temperate,Raven,Ambition,Warhammer,Lannister
Blonde,Hot,Lion,Wealth,Sword,Lannister
Black,Windy,Stag,Power,Warhammer,Baratheon
Brown,Temperate,Raven,Honor,Valyrian Steel,Stark
Auburn,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Wealth,Bow,Lannister
Black,Windy,Stag,Power,Sword,Baratheon
Brown,Humid,Direwolf,Power,Axe,Stark
Brown,Humid,Stag,Ambition,Sword,Baratheon
Auburn,Hot,Cat,Power,Axe,Lannister
Blonde,Temperate,Raven,Ambition,Sword,Lannister
Blonde,Temperate,Lion,Power,Valyrian Steel,Lannister
Auburn,Windy,Lion,Wealth,Valyrian Steel,Lannister
Black,Cold,Stag,Justice,Bow,Baratheon
Brown,Cold,Cat,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Honor,Spear,Lannister
Brown,Hot,Lion,Power,Warhammer,Lannister
Black,Temperate,Stag,Loyalty,Spear,Baratheon
Blonde,Hot,Lion,Wealth,Spear,Lannister
Brown,Cold,Direwolf,Knowledge,Sword,Stark
Auburn,Cold,Direwolf,Honor,Axe,Stark
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Black,Humid,Stag,Honor,Axe,Baratheon
Brown,Cold,Direwolf,Honor,Warhammer,Stark
Brown,Cold,Direwolf,Honor,Sword,Stark
Black,Cold,Direwolf,Honor,Sword,Stark
Blonde,Windy,Cat,Power,Dagger,Lannister
Auburn,Hot,Stag,Power,Dagger,Baratheon
Silver,Temperate,Raven,Ambition,Spear,Targaryen
Silver,Humid,None,Knowledge,Valyrian Steel,Targaryen
Black,Hot,Cat,Power,Axe,Baratheon
Brown,Humid,Stag,Power,Axe,Baratheon
Brown,Cold,Direwolf,Honor,Valyrian Steel,Stark
Blonde,Temperate,Cat,Power,Spear,Lannister
Blonde,Temperate,Cat,Wealth,Sword,Lannister
Black,Cold,Direwolf,Honor,Sword,Stark
Auburn,Temperate,Stag,Power,Dagger,Baratheon
Brown,Cold,None,Honor,Warhammer,Stark
Silver,Hot,Dragon,Power,Spear,Targaryen
Silver,Windy,Dragon,Justice,Axe,Targaryen
Silver,Temperate,None,Power,Valyrian Steel,Targaryen
Silver,Hot,Raven,Power,Valyrian Steel,Targaryen
Black,Temperate,Cat,Power,Spear,Baratheon
Brown,Cold,Direwolf,Loyalty,Sword,Stark
Red,Temperate,None,Wealth,Valyrian Steel,Lannister
Black,Cold,Direwolf,Ambition,Bow,Stark
Silver,Hot,Dragon,Loyalty,Dagger,Targaryen
Red,Cold,Direwolf,Ambition,Bow,Stark
Silver,Hot,Dragon,Power,Warhammer,Targaryen
Silver,Windy,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Windy,None,Power,Warhammer,Baratheon
Brown,Humid,Direwolf,Wealth,Sword,Stark
Black,Cold,Cat,Knowledge,Sword,Baratheon
Black,Cold,Direwolf,Power,Warhammer,Stark
Blonde,Cold,Cat,Power,Warhammer,Baratheon
Silver,Windy,Dragon,Ambition,Sword,Targaryen
Black,Cold,Stag,Power,Bow,Baratheon
Silver,Cold,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Black,Cold,Stag,Power,Warhammer,Baratheon
Red,Cold,None,Loyalty,Dagger,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Brown,Temperate,Cat,Power,Sword,Lannister
Silver,Temperate,Dragon,Loyalty,Bow,Targaryen
Red,Cold,Direwolf,Honor,Spear,Stark
Silver,Temperate,None,Power,Dagger,Targaryen
Blonde,Hot,None,Wealth,Valyrian Steel,Lannister
Auburn,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Brown,Hot,Dragon,Knowledge,Sword,Targaryen
Silver,Hot,Raven,Loyalty,Sword,Targaryen
Brown,Cold,Direwolf,Wealth,Axe,Stark
